Epoch,Batch,Discriminator Loss,Generator Loss
1,1,0.616629,0.595933
1,2,0.332851,0.317657
1,3,0.138570,0.148528
1,4,0.133595,0.132649
1,5,0.114894,0.111403
1,6,0.124150,0.107024
1,7,0.104792,0.087949
1,8,0.092743,0.086450
1,9,0.082430,0.086050
1,10,0.060322,0.077318
1,11,0.058831,0.080117
1,12,0.048106,0.073940
1,13,0.042116,0.067466
1,14,0.040306,0.059670
1,15,0.036923,0.054036
1,16,0.030340,0.045871
1,17,0.031253,0.046385
1,18,0.030869,0.048588
1,19,0.026882,0.041731
1,20,0.027722,0.042361
1,21,0.028051,0.042476
1,22,0.024905,0.037733
1,23,0.025585,0.042306
1,24,0.022604,0.036108
1,25,0.023228,0.034689
1,26,0.023499,0.033913
1,27,0.021646,0.035386
1,28,0.023808,0.034134
1,29,0.018313,0.028965
1,30,0.021731,0.034879
1,31,0.019381,0.034111
1,32,0.018299,0.033116
1,33,0.019949,0.034723
1,34,0.020317,0.036564
1,35,0.018046,0.032730
1,36,0.018734,0.034491
1,37,0.018235,0.033425
1,38,0.019267,0.035690
1,39,0.015102,0.029938
1,40,0.016578,0.031105
1,41,0.016426,0.032752
1,42,0.015184,0.030236
1,43,0.016714,0.033197
1,44,0.014510,0.027882
1,45,0.015323,0.029563
1,46,0.015707,0.029838
1,47,0.014475,0.030259
1,48,0.014789,0.029044
1,49,0.014777,0.028445
1,50,0.016729,0.030271
1,51,0.016527,0.029567
2,1,0.015598,0.029581
2,2,0.015736,0.028702
2,3,0.012998,0.026164
2,4,0.013183,0.028486
2,5,0.012195,0.024618
2,6,0.014834,0.029442
2,7,0.013716,0.026983
2,8,0.014972,0.028232
2,9,0.013795,0.026118
2,10,0.012672,0.025182
2,11,0.013255,0.025681
2,12,0.013055,0.024890
2,13,0.012635,0.025066
2,14,0.012156,0.023525
2,15,0.013816,0.024608
2,16,0.011079,0.022119
2,17,0.012245,0.025261
2,18,0.012593,0.025948
2,19,0.011701,0.024405
2,20,0.012728,0.024808
2,21,0.013062,0.024660
2,22,0.011630,0.023070
2,23,0.013472,0.027148
2,24,0.011809,0.023299
2,25,0.012707,0.023787
2,26,0.012209,0.023791
2,27,0.012201,0.025061
2,28,0.012525,0.023488
2,29,0.010367,0.021199
2,30,0.012733,0.024741
2,31,0.011152,0.023101
2,32,0.010439,0.021803
2,33,0.012562,0.025227
2,34,0.012347,0.025105
2,35,0.011666,0.022451
2,36,0.011538,0.023693
2,37,0.011476,0.021830
2,38,0.012262,0.024679
2,39,0.009642,0.020092
2,40,0.010542,0.020532
2,41,0.010770,0.022786
2,42,0.010169,0.020813
2,43,0.011356,0.024450
2,44,0.010138,0.020150
2,45,0.010273,0.020935
2,46,0.011269,0.022383
2,47,0.010042,0.022189
2,48,0.010465,0.023487
2,49,0.010429,0.022541
2,50,0.011575,0.022197
2,51,0.011824,0.022833
3,1,0.011117,0.023503
3,2,0.011565,0.023294
3,3,0.009358,0.021555
3,4,0.009371,0.020991
3,5,0.008878,0.019632
3,6,0.010936,0.024021
3,7,0.010054,0.023111
3,8,0.010963,0.022625
3,9,0.010211,0.020235
3,10,0.009557,0.020501
3,11,0.009657,0.020781
3,12,0.009518,0.018931
3,13,0.009477,0.020071
3,14,0.008941,0.019745
3,15,0.010363,0.021014
3,16,0.008618,0.019480
3,17,0.009312,0.021918
3,18,0.009439,0.022650
3,19,0.008925,0.020891
3,20,0.009536,0.020898
3,21,0.009861,0.020398
3,22,0.008729,0.020107
3,23,0.010146,0.022691
3,24,0.009100,0.019715
3,25,0.009607,0.020937
3,26,0.009287,0.020769
3,27,0.009479,0.021864
3,28,0.009397,0.020159
3,29,0.008047,0.018975
3,30,0.009675,0.021875
3,31,0.008589,0.020098
3,32,0.008323,0.018725
3,33,0.009568,0.022288
3,34,0.009405,0.022035
3,35,0.008764,0.019493
3,36,0.008862,0.021180
3,37,0.008860,0.019406
3,38,0.009534,0.021989
3,39,0.007368,0.018224
